seq_beneficiario;dt_inicio_direito;des_categoria;desc_entidade;val_redutor_teto;municipio;uf;dt_requerimento;dt_doc_completa;dt_deferimento;mes_deferimento;dias_uteis_concessao;;;;;;
189185;30/12/2023;CONJUGE;SEC DE PLANEJAMENTO E GESTAO;4713,82;BELO HORIZONTE;MG;29/01/2024;20/01/2025;24/01/2025;Janeiro;5;;;;;;
189187;24/08/2024;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;8181;RIBEIRAO DAS NEVES;MG;24/10/2024;20/01/2025;24/01/2025;Janeiro;5;;;;;;
189188;17/12/2024;CONJUGE;POLICIA CIVIL;12158,9;BARBACENA;MG;23/12/2024;22/01/2025;24/01/2025;Janeiro;3;;;;;;
189190;16/12/2024;EX-CONJUGE COM PENSAO ALIMENTICIA;SEC DE PLANEJAMENTO E GESTAO;2363,9;BELO HORIZONTE;MG;16/12/2024;16/12/2024;24/01/2025;Janeiro;30;;;;;;
189191;09/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;1951,7;BELO HORIZONTE;MG;27/12/2024;22/01/2025;24/01/2025;Janeiro;3;;;;;;
189192;08/12/2024;CONJUGE;IPSEMG INSTITUTO PREVIDENCIA;3588,89;CATAGUASES;MG;16/01/2025;22/01/2025;24/01/2025;Janeiro;3;;;;;;
189193;25/12/2024;CONJUGE;POLICIA CIVIL;10728,44;BELO HORIZONTE;MG;17/01/2025;22/01/2025;24/01/2025;Janeiro;3;;;;;;
189196;23/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;2757,7;ANDRELANDIA;MG;20/01/2025;22/01/2025;24/01/2025;Janeiro;3;;;;;;
189197;14/03/2014;COMPANHEIRO(A);SECRETARIA DA EDUCACAO;8714,85;JABOTICATUBAS;MG;14/03/2014;22/01/2025;24/01/2025;Janeiro;3;;;;;;
189198;26/12/2024;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;3225,25;GUAPE;MG;16/01/2025;22/01/2025;24/01/2025;Janeiro;3;;;;;;
189200;04/05/2017;FILHO(A) INVALIDO(A);SECRETARIA DE ESTADO DE EDUCACAO;1518;TEOFILO OTONI;MG;29/05/2017;29/05/2017;24/01/2025;Janeiro;2000;;;;;;
189201;11/01/2025;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1870,18;VARGINHA;MG;17/01/2025;22/01/2025;24/01/2025;Janeiro;3;;;;;;
189203;30/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;4894,28;PASSOS;MG;13/01/2025;22/01/2025;27/01/2025;Janeiro;4;;;;;;
189204;26/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;2833,54;NOVA SERRANA;MG;07/01/2025;23/01/2025;24/01/2025;Janeiro;2;;;;;;
189205;05/11/2024;CONJUGE;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;41708,22;BELO HORIZONTE;MG;20/01/2025;23/01/2025;24/01/2025;Janeiro;2;;;;;;
189206;09/10/2023;COMPANHEIRO(A);DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;2402,47;ITABIRA;MG;05/12/2023;23/01/2025;24/01/2025;Janeiro;2;;;;;;
189207;08/01/2025;CONJUGE;SECRETARIA DE SAUDE;1627,41;VARGINHA;MG;08/01/2025;23/01/2025;24/01/2025;Janeiro;2;;;;;;
189208;15/07/2024;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1817,05;IBIRITE;MG;26/08/2024;30/12/2024;24/01/2025;Janeiro;20;;;;;;
189210;09/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;2969,2;BETIM;MG;22/11/2024;09/01/2025;24/01/2025;Janeiro;12;;;;;;
